,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
0,137197,Altair,Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Carmenere,Merlot,,,,,,,,,,Red,Table,14~15,17~19,SWEET1,ACIDITY4,BODY5,TANNIN4,220000,2014,750
1,137198,"Altair, Sideral",Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Merlot,Carmenere,Cabernet Franc,Syrah & Shiraz,Petit Verdot,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,110000,2016,750
2,137199,Baron du Val Red,Baron du Val,France,,,,,Carignan,Cinsault,Syrah & Shiraz,Grenache Noir,,,,,,,,,Red,Table,11~12,15~17,SWEET2,ACIDITY3,BODY2,TANNIN2,0,0,750
3,137200,Baron du Val White,Baron du Val,France,,,,,Carignan,Ugni​ blanc,Grenache Blanc,Picpoul,,,,,,,,,White,Table,11~12,9~11,SWEET1,ACIDITY3,BODY2,TANNIN1,0,0,750
4,137201,"Benziger, Cabernet Sauvignon",Benziger,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2003,750
5,137202,"Calvet, Beaujolais Villages",Calvet,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,12,13~15,SWEET2,ACIDITY4,BODY2,TANNIN2,0,2007,750
6,137203,"Calvet, Aetos",Calvet,France,Bordeaux,,,,Merlot,,,,,,,,,,,,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2003,750
7,137204,"Calvet, Bordeaux Red",Calvet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,21000,2011,750
8,137205,"Calvet, Bordeaux white",Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Muscadet,,,,,,,,,,White,Table,11.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,21000,2010,750
9,137207,"Calvet, Varietals Cabernet Sauvignon",Calvet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,19000,2017,750
