cod_ibge,distritos,renda,quota,escolaridade,idade,mortalidade,txcresc,causasext,favel,denspop
1,Água Rasa,1961,34.61999893,7.599999905,32,13.85999966,-1.840000033,52.97999954,0.0,125.6100006
12,Alto de Pinheiros,4180,75.95999908,8.399999619,33,8.680000305,-2.519999981,38.56999969,0.689999998,57.56000137
23,Anhanguera,1093,4.5,5.800000191,23,15.35999966,18.12000084,22.68000031,0.0,8.569999695
34,Aricanduva,1311,21.02000046,6.800000191,27,18.43000031,-1.070000052,76.22000122,5.380000114,138.5399933
45,Artur Alvim,1248,15.90999985,7.0,27,19.72999954,-1.399999976,67.25,4.110000134,167.3999939
56,Barra Funda,2359,34.31000137,8.0,31,8.619999886,-2.140000105,37.90000153,4.849999905,25.60000038
67,Bela Vista,2400,53.65000153,8.399999619,32,12.40999985,-2.00999999,59.86000061,0.0,249.6000061
78,Belém,1813,31.98999977,7.699999809,32,11.27000046,-3.039999962,78.94000244,2.680000067,70.97000122
89,Bom Retiro,1710,37.54999924,7.699999809,30,22.95000076,-5.119999886,75.83999634,1.419999957,69.47000122
2,Brás,1942,28.96999931,7.0,30,13.64000034,-4.480000019,120.6699982,0.0,76.19000244
3,Brasilândia,975,8.220000267,5.800000191,22,22.0,3.140000105,125.0199966,16.60000038,112.0599976
4,Butantã,2311,50.31999969,8.399999619,31,18.12999916,-1.600000024,44.72999954,0.25999999,42.81999969
5,Cachoeirinha,1347,12.34000015,6.199999809,23,15.71000004,2.279999971,105.5999985,17.42000008,105.9199982
6,Cambuci,1958,37.38999939,7.800000191,32,7.420000076,-2.839999914,40.56999969,0.0,82.27999878
7,Campo Belo,3850,66.65000153,8.600000381,31,16.62999916,-3.109999895,68.08000183,6.860000134,75.62999725
8,Campo Grande,2592,32.90999985,8.199999809,29,19.5,0.670000017,76.90000153,2.180000067,64.76999664
9,Campo Limpo,1218,15.15999985,6.400000095,24,17.87999916,0.330000013,71.75,13.64999962,126.6399994
10,Cangaíba,1147,17.25,6.800000191,26,11.18000031,1.909999967,61.13999939,6.380000114,79.04000092
11,Capão Redondo,1246,10.28999996,6.099999905,23,17.63999939,0.699999988,102.5,18.64999962,147.3000031
13,Carrão,1923,32.58000183,7.400000095,31,12.34000015,-1.879999995,61.84999847,0.0,105.9000015
14,Casa Verde,1847,29.36000061,7.400000095,29,12.68999958,-1.600000024,67.66999817,0.0,125.2600021
15,Cidade Ademar,1396,16.20000076,6.300000191,24,19.48999977,0.239999995,82.12000275,16.21999931,194.6600037
16,Cidade Dutra,1371,15.11999989,6.5,24,21.85000038,0.870000005,79.36000061,20.44000053,60.15999985
17,Cidade Lider,1151,17.21999931,6.400000095,24,16.42000008,0.189999998,100.5800018,3.549999952,96.38999939
18,Cidade Tiradentes,895,1.059999943,6.0,21,24.45999908,11.06000042,104.9700012,0.620000005,108.4400024
19,Consolação,3117,84.69000244,8.800000191,35,16.42000008,-2.529999971,30.88999939,0.0,158.3500061
20,Cursino,2194,32.79999924,7.599999905,29,14.85000038,-1.179999948,72.02999878,1.870000005,81.31999969
21,Ermelino Matarazzo,1058,11.82999992,6.300000191,24,13.93999958,1.929999948,72.59999847,4.760000229,120.9199982
22,Freguesia do Ó,1538,24.04000092,7.099999905,27,16.29999924,-1.389999986,63.02000046,2.799999952,135.5599976
24,Grajaú,936,4.96999979,5.5,21,20.59000015,7.070000172,97.16000366,19.5,29.63999939
