fixed acidity	volatile acidity	citric acid	residual sugar
7	0.27	0.36	20.7
6.3	0.3	0.34	1.6
8.1	0.28	0.4	6.9
7.2	0.23	0.32	8.5
7.2	0.23	0.32	8.5
8.1	0.28	0.4	6.9
6.2	0.32	0.16	7
7	0.27	0.36	20.7
6.3	0.3	0.34	1.6
8.1	0.22	0.43	1.5
8.1	0.27	0.41	1.45
8.6	0.23	0.4	4.2
7.9	0.18	0.37	1.2
6.6	0.16	0.4	1.5
8.3	0.42	0.62	19.25
6.6	0.17	0.38	1.5
6.3	0.48	0.04	1.1
6.2	0.66	0.48	1.2
7.4	0.34	0.42	1.1
6.5	0.31	0.14	7.5
6.2	0.66	0.48	1.2
6.4	0.31	0.38	2.9
6.8	0.26	0.42	1.7
7.6	0.67	0.14	1.5
6.6	0.27	0.41	1.3
7	0.25	0.32	9
6.9	0.24	0.35	1
7	0.28	0.39	8.7
7.4	0.27	0.48	1.1
7.2	0.32	0.36	2
8.5	0.24	0.39	10.4
8.3	0.14	0.34	1.1
7.4	0.25	0.36	2.05
6.2	0.12	0.34	1.5
5.8	0.27	0.2	14.95
7.3	0.28	0.43	1.7
6.5	0.39	0.23	5.4
7	0.33	0.32	1.2
7.3	0.24	0.39	17.95
7.3	0.24	0.39	17.95
6.7	0.23	0.39	2.5
6.7	0.24	0.39	2.9
7	0.31	0.26	7.4
6.6	0.24	0.27	1.4
6.7	0.23	0.26	1.4
7.4	0.18	0.31	1.4
6.2	0.45	0.26	4.4
6.2	0.46	0.25	4.4
7	0.31	0.26	7.4
6.9	0.19	0.35	5
7.2	0.19	0.31	1.6
6.6	0.25	0.29	1.1
6.2	0.16	0.33	1.1
6.4	0.18	0.35	1
6.8	0.2	0.59	0.9
6.9	0.25	0.35	1.3
7.2	0.21	0.34	11.9
6	0.19	0.26	12.4
6.6	0.38	0.15	4.6
7.4	0.2	0.36	1.2
6.8	0.22	0.24	4.9
6	0.19	0.26	12.4
7	0.47	0.07	1.1
6.6	0.38	0.15	4.6
7.2	0.24	0.27	1.4
6.2	0.35	0.03	1.2
6.4	0.26	0.24	6.4
6.7	0.25	0.13	1.2
6.7	0.23	0.31	2.1
7.4	0.24	0.29	10.1
6.2	0.27	0.43	7.8
6.8	0.3	0.23	4.6
6	0.27	0.28	4.8
8.6	0.23	0.46	1
6.7	0.23	0.31	2.1
7.4	0.24	0.29	10.1
7.1	0.18	0.36	1.4
7	0.32	0.34	1.3
7.4	0.18	0.3	8.8
6.7	0.54	0.28	5.4
6.8	0.22	0.31	1.4
7.1	0.2	0.34	16
7.1	0.34	0.2	6.1
7.3	0.22	0.3	8.2
7.1	0.43	0.61	11.8
7.1	0.44	0.62	11.8
7.2	0.39	0.63	11
6.8	0.25	0.31	13.3
7.1	0.43	0.61	11.8
7.1	0.44	0.62	11.8
7.2	0.39	0.63	11
6.1	0.27	0.43	7.5
6.9	0.24	0.33	1.7
6.9	0.21	0.33	1.8
7.5	0.17	0.32	1.7
7.1	0.26	0.29	12.4
6	0.34	0.66	15.9
8.6	0.265	0.36	1.2
9.8	0.36	0.46	10.5
6	0.34	0.66	15.9
7.4	0.25	0.37	13.5
7.1	0.12	0.32	9.6
6	0.21	0.24	12.1
7.5	0.305	0.4	18.9
7.4	0.25	0.37	13.5
7.3	0.13	0.32	14.4
7.1	0.12	0.32	9.6
7.1	0.23	0.35	16.5
7.1	0.23	0.35	16.5
6.9	0.33	0.28	1.3
6.5	0.17	0.54	8.5
7.2	0.27	0.46	18.75
7.2	0.31	0.5	13.3
6.7	0.41	0.34	9.2
6.7	0.41	0.34	9.2
5.5	0.485	0	1.5
6	0.31	0.24	3.3
7	0.14	0.4	1.7
7.2	0.31	0.5	13.3
7.3	0.32	0.48	13.3
5.9	0.36	0.04	5.7
7.8	0.24	0.32	12.2
7.4	0.16	0.31	6.85
6.9	0.19	0.28	5
6.4	0.13	0.47	1.6
6.7	0.19	0.36	1.1
7.4	0.39	0.23	7
6.5	0.24	0.32	7.6
6.1	0.3	0.56	2.8
6.1	0.3	0.56	2.7
5.7	0.26	0.25	10.4
6.5	0.24	0.32	7.6
6.5	0.425	0.4	13.1
6.6	0.24	0.27	15.8
6.8	0.27	0.22	8.1
6.7	0.27	0.31	15.7
8.2	0.23	0.4	1.2
7.1	0.37	0.67	10.5
6.8	0.19	0.36	1.9
8.1	0.28	0.39	1.9
6.3	0.31	0.34	2.2
7.1	0.37	0.67	10.5
7.9	0.21	0.4	1.2
8.5	0.21	0.41	4.3
8.1	0.2	0.4	2
6.3	0.255	0.37	1.1
5.6	0.16	0.27	1.4
6.4	0.595	0.14	5.2
6.3	0.34	0.33	4.6
6.9	0.25	0.3	4.1
7.9	0.22	0.38	8
7.6	0.18	0.46	10.2
6.9	0.25	0.3	4.1
7.2	0.18	0.41	1.2
8.2	0.23	0.4	7.5
7.4	0.24	0.42	14
7.4	0.24	0.42	14
6.1	0.32	0.24	1.5
5.2	0.44	0.04	1.4
5.2	0.44	0.04	1.4
6.1	0.32	0.24	1.5
6.4	0.22	0.56	14.5
6.3	0.36	0.3	4.8
7.4	0.24	0.42	14
6.7	0.24	0.35	13.1
7	0.23	0.36	13
8.4	0.27	0.46	8.7
6.7	0.46	0.18	2.4
7.5	0.29	0.31	8.95
9.8	0.42	0.48	9.85
7.1	0.3	0.46	1.5
7.9	0.19	0.45	1.5
7.6	0.48	0.37	0.8
6.3	0.22	0.43	4.55
7.5	0.27	0.31	17.7
6.9	0.23	0.4	7.5
7.2	0.32	0.47	5.1
5.9	0.23	0.3	12.9
6	0.67	0.07	1.2
6.4	0.25	0.32	5.5
6.4	0.33	0.31	5.5
7.1	0.34	0.15	1.2
6.8	0.28	0.4	22
6.9	0.27	0.4	14
6.8	0.26	0.56	11.9
6.8	0.29	0.56	11.9
6.7	0.24	0.41	9.4
5.9	0.3	0.23	4.2
6.8	0.53	0.35	3.8
6.5	0.28	0.28	8.5
6.6	0.28	0.28	8.5
6.8	0.28	0.4	22
6.8	0.28	0.36	8
6.6	0.15	0.34	5.1
6.4	0.29	0.44	3.6
6.4	0.3	0.45	3.5
6.4	0.29	0.44	3.6
6.8	0.26	0.24	7.8
7.1	0.32	0.24	13.1
6.8	0.26	0.24	7.8
6.8	0.27	0.26	16.1
7.1	0.32	0.24	13.1
6.9	0.54	0.32	13.2
6.8	0.26	0.34	13.9
5.8	0.28	0.35	2.3
6.4	0.21	0.5	11.6
7	0.16	0.32	8.3
10.2	0.44	0.88	6.2
6.8	0.57	0.29	2.2
6.1	0.4	0.31	0.9
5.6	0.245	0.25	9.7
6.8	0.18	0.38	1.4
7	0.16	0.32	8.3
6.7	0.13	0.29	5.3
6.2	0.25	0.25	1.4
