chlorides,density,sulphates
0.045,1.001,0.45
0.049,0.994,0.49
0.05,0.9951,0.44
0.058,0.9956,0.4
0.058,0.9956,0.4
0.05,0.9951,0.44
0.045,0.9949,0.47
0.045,1.001,0.45
0.049,0.994,0.49
0.044,0.9938,0.45
0.033,0.9908,0.56
0.035,0.9947,0.53
0.04,0.992,0.63
0.044,0.9912,0.52
0.04,1.0002,0.67
0.032,0.9914,0.55
0.046,0.9928,0.36
0.029,0.9892,0.39
0.033,0.9917,0.53
0.044,0.9955,0.5
0.029,0.9892,0.39
0.038,0.9912,0.35
0.049,0.993,0.48
0.074,0.9937,0.51
0.052,0.9951,0.47
0.046,0.9955,0.5
0.052,0.993,0.44
0.051,0.9961,0.53
0.047,0.9914,0.49
0.033,0.9906,0.71
0.044,0.9974,0.53
0.042,0.9934,0.4
0.05,0.992,0.44
0.045,0.9939,0.51
0.044,0.9962,0.37
0.08,0.9905,0.42
0.051,0.9934,0.35
0.053,0.9906,0.28
0.057,0.9999,0.36
0.057,0.9999,0.36
0.172,0.9937,0.36
0.173,0.9937,0.34
0.069,0.9954,0.46
0.057,0.9934,0.56
0.06,0.9934,0.56
0.058,0.9931,0.53
0.063,0.994,0.52
0.066,0.9939,0.52
0.069,0.9954,0.46
0.067,0.995,0.48
0.062,0.9917,0.44
0.068,0.9914,0.58
0.057,0.991,0.46
0.045,0.9911,0.35
0.147,0.993,0.38
0.039,0.9908,0.52
0.043,0.9962,0.5
0.048,0.9972,0.36
0.044,0.9931,0.38
0.038,0.9926,0.34
0.092,0.9951,0.46
0.048,0.9972,0.36
0.035,0.991,0.34
0.044,0.9931,0.38
0.038,0.9927,0.46
0.064,0.9934,0.54
0.04,0.9903,0.49
0.041,0.992,0.42
0.046,0.9926,0.64
0.05,0.9962,0.35
0.056,0.9956,0.51
0.061,0.9958,0.6
0.063,0.9964,0.71
0.054,0.9941,0.49
0.046,0.9926,0.64
0.05,0.9962,0.35
0.043,0.9898,0.37
0.042,0.9912,0.65
0.064,0.9961,0.56
0.06,0.9949,0.37
0.053,0.9929,0.77
0.05,0.9985,0.6
0.063,0.9946,0.42
0.047,0.9966,0.46
0.045,0.9974,0.45
0.044,0.9975,0.46
0.044,0.9974,0.44
0.05,0.9972,0.48
0.045,0.9974,0.45
0.044,0.9975,0.46
0.044,0.9974,0.44
0.049,0.9957,0.47
0.035,0.99,0.4
0.034,0.9899,0.41
0.04,0.9916,0.44
0.044,0.9969,0.42
0.046,0.9979,0.5
0.034,0.9913,0.36
0.038,0.9956,0.3
0.046,0.9979,0.5
0.06,0.9975,0.44
0.054,0.9962,0.41
0.05,0.997,0.39
0.059,1,0.46
0.06,0.9975,0.44
0.051,0.9974,0.35
0.054,0.9962,0.41
0.04,0.999,0.59
0.04,0.999,0.59
0.051,0.9927,0.6
0.082,0.9959,0.39
0.052,1,0.52
0.056,0.9982,0.47
0.049,0.9968,0.51
0.049,0.9968,0.51
0.065,0.994,0.4
0.041,0.9914,0.44
0.035,0.9911,0.42
0.056,0.9982,0.47
0.06,0.9982,0.5
0.046,0.9934,0.51
0.054,0.9984,0.54
0.059,0.9952,0.34
0.058,0.9952,0.36
0.092,0.9928,0.36
0.026,0.9912,0.48
0.033,0.994,0.42
0.038,0.9958,0.54
0.044,0.9924,0.57
0.046,0.9924,0.57
0.02,0.994,0.37
0.038,0.9958,0.54
0.038,0.9979,0.57
0.035,0.9982,0.51
0.034,0.9961,0.52
0.036,0.9979,0.56
0.027,0.992,0.38
0.045,0.9975,0.44
0.035,0.9917,0.54
0.029,0.9923,0.52
0.045,0.9927,0.43
0.045,0.9975,0.44
0.039,0.992,0.54
0.036,0.9947,0.53
0.037,0.9921,0.54
0.04,0.9905,0.39
0.044,0.9918,0.37
0.058,0.9951,0.36
0.034,0.9917,0.58
0.054,0.994,0.38
0.043,0.9934,0.32
0.055,0.9968,0.43
0.054,0.994,0.38
