"id_departamento","lat","long"
5,6.75,-75.75
52,1.3833333,-77.45
27,5.5833333,-76.4166667
23,9.1666667,-75.8333333
23,8.9,-76.3597222
70,9.3811111,-75.2713889
54,7.8383333,-72.5133333
68,6.9166667,-73.0833333
54,7.9666667,-72.8333333
8,10.6141667,-75.1461111
73,4.9166667,-74.9166667
73,4.9166667,-75.1666667
19,2.4333333,-76.8
15,4.9166667,-73.25
68,6.5833333,-72.5333333
5,6.5,-74.75
25,5.0833333,-73.6166667
25,4.8333333,-74.3
13,9.2413889,-74.7533333
52,1.9166667,-77.8333333
13,10.1666667,-75.1666667
44,11.3841667,-72.2441667
70,8.5,-74.6666667
8,10.8588889,-74.7730556
52,1.0833333,-77.8166667
8,10.5,-75
44,11.7791667,-72.4494444
20,10.3927778,-73.0325
17,5.07,-75.5205556
25,5.0833333,-73.5833333
17,5.25,-75.1666667
85,4.8333333,-72.3333333
50,2.8911111,-72.1322222
13,9.0833333,-74.2
5,6.2,-75.3
15,5.5833333,-74
73,5.25,-74.9166667
17,5.5,-75.5833333
17,5.3333333,-75
66,4.9166667,-75.75
17,5.3333333,-75.25
13,10,-75.3333333
68,7.4166667,-73.0833333
5,6.2913889,-75.5361111
25,4.5,-73.3333333
27,,
27,,
27,5.1,-76.683
73,4.25,-74.5833333
19,1.75,-77.1666667
50,3.3780556,-74.0447222
18,1.3483333,-75.5116667
15,5.25,-73.1666667
95,1.3366667,-71.9511111
19,3.25,-76.25
66,5.4166667,-76
97,1.1983333,-70.1733333
86,1.1488889,-76.6477778
68,6.5833333,-72.9166667
68,6.75,-72.75
23,9.2372222,-75.6780556
13,9.25,-74.5833333
15,5.8333333,-72.6666667
15,5.75,-72.8333333
15,5.9166667,-73.5
5,5.9166667,-75.5
13,8.2994444,-74.4755556
23,7.75,-75.6666667
63,4.5,-75.8
23,8.7575,-75.89
85,4.9166667,-72.8333333
13,8.4166667,-74
19,2.8,-76.6666667
18,1.4875,-75.725
70,9.4166667,-75.3333333
25,4.75,-74.3333333
52,2.35,-78.35
15,5.5797222,-73.3713889
23,8.25,-76.05
73,4.8769444,-75.1738889
5,6.8,-76.8
5,7.3333333,-76.5
54,7.3333333,-72.7166667
15,5.5166667,-74.1166667
68,6.7833333,-72.6666667
5,5.6,-75.1666667
25,4.45,-74.8
52,1.5,-78
73,3.5833333,-75.0833333
5,8.0963889,-74.7758333
5,8.4238889,-76.7911111
17,5.1666667,-75.5
41,2.9305556,-75.3302778
25,5.1333333,-73.9
25,4.3333333,-74.5833333
25,5.2,-74.4166667
15,5.8333333,-72.9166667
25,5.1166667,-74.4166667
17,5.5666667,-74.8833333
13,8.5333333,-74.0333333
27,4.9166667,-76.5833333
47,9.8030556,-74.3902778
15,5.4166667,-73.4166667
85,5.6405556,-72.1986111
27,6,-77.3333333
41,2.65,-75.8
76,4.5833333,-75.9166667
68,6.4166667,-73.0833333
54,8.25,-73.3
68,6.3,-73.25
15,5.6,-73.3166667
5,6.6666667,-75.75
52,1.2666667,-77.4833333
68,6.3333333,-72.75
41,2.0833333,-76.0166667
86,0.6966667,-76.8747222
85,4.7941667,-71.34
73,3.9166667,-75.25
52,1.0333333,-77.55
15,5.75,-74.25
70,9.5,-75.1666667
15,5.1333333,-73.4
25,5.25,-74.1666667
19,3.0666667,-76.3166667
41,2.45,-75.75
20,8.9661111,-73.6316667
25,5.4166667,-74.1666667
15,5.8333333,-73.1
15,5.4166667,-72.6666667
41,3,-75.5
17,5.0833333,-75.6666667
41,1.75,-76.0666667
68,6.5833333,-73.25
8,10.7466667,-74.7555556
68,6.45,-73.25
76,3.5394444,-76.3036111
70,9.3333333,-75.55
73,5.1333333,-75.0333333
54,7.3780556,-72.6525
54,7.5,-72.5833333
25,4.25,-74.5
15,6.5,-72.4166667
25,4.3730556,-73.2213889
25,4.3333333,-74.2833333
19,2.1155556,-76.9891667
15,5.75,-73.9166667
15,5.6666667,-72.3816667
85,5.8833333,-71.9
15,6.0833333,-72.75
47,10.1666667,-74.75
20,8.6916667,-73.6663889
17,5.5,-75.0833333
5,7,-75.8333333
66,4.8133333,-75.6961111
15,5.5833333,-73.05
5,6.25,-75.25
19,7.7833333,-75.2
68,5.8383333,-74.0366667
73,4.5,-74.9166667
19,2.75,-76.5
63,4.3333333,-75.6666667
47,,-74.4497222
68,6.5833333,-73.1666667
13,8.9172222,-74.4663889
8,10.75,-75.1333333
15,5.7427778,-72.4894444
41,2.3333333,-75.8333333
41,1.75,-76.1666667
47,10.4166667,-74.3333333
73,3.25,-75.75
23,8.3333333,-75.5833333
47,9.8333333,-74.3333333
52,1.6316667,-77.4616667
8,10.75,-74.7833333
8,10.6436111,-74.7544444
19,3.2775,-75.6213889
85,5.6708333,-71.93
52,0.75,-77.4166667
76,3.4211111,-76.2447222
73,3.75,-74.8333333
52,1.5702778,-77.4694444
88,12.5,-81.75
20,10.3666667,-73.6333333
23,8.2333333,-74.9666667
66,5.25,-76.1666667
5,5.8,-75.85
47,10.9833333,-74.3333333
68,5.9166667,-73.5833333
52,0.9166667,-77.25
86,0.5158333,-76.495
5,6.4166667,-74.5
15,5.9780556,-74.5897222
86,0.6838889,-76.5858333
99,6.1877778,-67.4730556
8,11.0166667,-74.8833333
50,2.6794444,-72.7608333
23,8.95,-76.25
50,4.3141667,-72.0825
86,0.9702778,-76.5858333
86,-0.2,-74.7666667
23,4.6,-74.1166667
50,3,-72.5
50,4.0833333,-72.9666667
5,6.1916667,-74.5866667
91,-3.7702778,-70.3830556
68,6.6516667,-74.0608333
18,1.9141667,-75.145
50,2.9383333,-73.2083333
81,6.2780556,-71.1
25,5.5,-74.5833333
54,8.3636111,-72.4075
19,3.25,-76.4166667
5,5.8708333,-74.6455556
68,7.5833333,-73.6666667
25,4.75,-74.6666667
52,0.9166667,-77.6666667
19,2.3480556,-76.5008333
73,3.9166667,-74.9166667
23,9.3,-75.6666667
17,5.5,-75.5
15,5.1044444,-73.0555556
19,5.1044444,-73.0555556
68,6.5,-73.1333333
25,5.15,-74.5
25,4.3333333,-73.8333333
27,5.6947222,-76.6611111
63,4.6333333,-75.75
66,5.3333333,-75.6666667
15,5.5222222,-74.1808333
25,4.75,-74.5833333
54,7.5833333,-72.5
15,5.4166667,-73.3333333
85,5.3333333,-72.75
13,8.6666667,-73.8333333
5,7,-74.4166667
47,10.6666667,-74.5833333
8,10.55,-75.1333333
50,4.1666667,-73.4166667
76,3.7833333,-76.5
5,6.0833333,-75.5
25,4.2797222,-74.7761111
52,1.1666667,-78.1666667
68,7.2191667,-73.1558333
73,3.5,-75.8333333
76,4.0833333,-76.3333333
44,11.5444444,-72.9072222
17,5.1666667,-75.75
41,2.8333333,-75.1666667
52,1.9166667,-78.3333333
76,4.4147222,-76.1547222
73,4.0833333,-75.5833333
15,5.4166667,-73.1666667
19,2.3333333,-76.75
73,4.25,-75.3333333
15,5.6166667,-73.6333333
27,5.1,-76.6666667
27,5.7,-76.6666667
17,5.3791667,-75.6161111
13,8.59,-73.8436111
20,8,-73.5
5,6.1666667,-75.4166667
27,7.4166667,-77.1666667
68,7.3980556,-73.4969444
8,10.8,-74.75
5,6.9166667,-75.8
8,10.6333333,-74.8333333
85,4.8536111,-73.0430556
47,10.033,-74.217
5,6.15,-75.6
15,5.75,-73.7
23,8.8333333,-75.4166667
41,2.0144444,-76.0502778
17,5.4166667,-75.4166667
47,10.5,-74.7
54,7.8,-72.8333333
73,3.9347222,-75.0202778
63,4.6666667,-75.5
5,6,-76
15,5.5,-73.5
52,1.4166667,-77.6666667
17,5.5833333,-74.9166667
70,9.1666667,-75.3
41,1.9166667,-76.3333333
20,7.7525,-73.3891667
68,6.8333333,-72.75
23,9.1666667,-75.55
5,6.917,-75.667
23,9.35,-75.75
73,3.9166667,-75.5
25,4.1333333,-74.5
68,6.1666667,-73.4666667
70,8.75,-74.9166667
25,4.2,-74.3333333
52,1.5163889,-77.0466667
23,9.25,-76
54,8.75,-73.0333333
5,6.2,-74.9166667
23,8.7,-75.7
50,3.7122222,-73.2436111
25,5.3333333,-74.0833333
54,7.8833333,-72.5833333
13,9.8833333,-75.25
20,10.3375,-73.1825
15,5.2166667,-73.1333333
13,10.3983333,-75.1511111
13,9.0833333,-74.3333333
5,6.1166667,-75.9833333
25,5,-74.2833333
86,1.1772222,-76.8830556
68,6.5833333,-73.0833333
13,9.8333333,-75.0833333
13,9.8316667,-75.1263889
5,6.45,-75.7
68,6.4333333,-72.8666667
17,5.0858333,-75.7883333
68,6.7,-72.6666667
