id_departamento	departamento
5	Antioquia
5	Antioquia
50	Meta
27	Chocó
41	Huila
13	Bolívar
41	Huila
25	Cundinamarca
20	Cesar
68	Santander
17	Caldas
85	Casanare
20	Cesar
41	Huila
18	Caquetá
44	La Guajira
68	Santander
25	Cundinamarca
52	Nariño
76	Valle del Cauca
52	Nariño
5	Antioquia
47	Magdalena
41	Huila
19	Cauca
15	Boyacá
73	Tolima
41	Huila
27	Chocó
13	Bolívar
73	Tolima
5	Antioquia
5	Antioquia
73	Tolima
25	Cundinamarca
52	Nariño
76	Valle del Cauca
5	Antioquia
5	Antioquia
5	Antioquia
25	Cundinamarca
5	Antioquia
17	Caldas
76	Valle del Cauca
73	Tolima
5	Antioquia
5	Antioquia
25	Cundinamarca
66	Risaralda
15	Boyacá
47	Magdalena
17	Caldas
68	Santander
81	Arauca
81	Arauca
25	Cundinamarca
52	Nariño
54	Norte de Santander
5	Antioquia
15	Boyacá
13	Bolívar
5	Antioquia
19	Cauca
76	Valle del Cauca
47	Magdalena
13	Bolívar
5	Antioquia
63	Quindío
73	Tolima
13	Bolívar
20	Cesar
73	Tolima
27	Chocó
23	Córdoba
27	Chocó
27	Chocó
27	Chocó
19	Cauca
66	Risaralda
8	Atlántico
41	Huila
52	Nariño
5	Antioquia
68	Santander
68	Santander
50	Meta
68	Santander
44	La Guajira
13	Bolívar
8	Atlántico
20	Cesar
17	Caldas
5	Antioquia
5	Antioquia
25	Cundinamarca
15	Boyacá
52	Nariño
27	Chocó
66	Risaralda
18	Caquetá
15	Boyacá
5	Antioquia
15	Boyacá
5	Antioquia
68	Santander
25	Cundinamarca
15	Boyacá
54	Norte de Santander
25	Cundinamarca
25	Cundinamarca
27	Chocó
5	Antioquia
19	Cauca
68	Santander
76	Valle del Cauca
20	Cesar
15	Boyacá
5	Antioquia
15	Boyacá
68	Santander
54	Norte de Santander
76	Valle del Cauca
15	Boyacá
23	Córdoba
63	Quindío
70	Sucre
19	Cauca
52	Nariño
76	Valle del Cauca
76	Valle del Cauca
5	Antioquia
15	Boyacá
25	Cundinamarca
68	Santander
50	Meta
25	Cundinamarca
5	Antioquia
76	Valle del Cauca
70	Sucre
73	Tolima
19	Cauca
25	Cundinamarca
13	Bolívar
95	Guaviare
63	Quindío
5	Antioquia
15	Boyacá
19	Cauca
68	Santander
76	Valle del Cauca
19	Cauca
76	Valle del Cauca
5	Antioquia
8	Atlántico
41	Huila
15	Boyacá
23	Córdoba
8	Atlántico
76	Valle del Cauca
13	Bolívar
27	Chocó
25	Cundinamarca
68	Santander
5	Antioquia
5	Antioquia
68	Santander
5	Antioquia
73	Tolima
25	Cundinamarca
5	Antioquia
27	Chocó
5	Antioquia
13	Bolívar
18	Caquetá
76	Valle del Cauca
97	Vaupés
73	Tolima
50	Meta
5	Antioquia
5	Antioquia
68	Santander
23	Córdoba
15	Boyacá
68	Santander
47	Magdalena
52	Nariño
25	Cundinamarca
70	Sucre
73	Tolima
68	Santander
68	Santander
5	Antioquia
68	Santander
20	Cesar
23	Córdoba
15	Boyacá
17	Caldas
54	Norte de Santander
23	Córdoba
25	Cundinamarca
68	Santander
15	Boyacá
20	Cesar
15	Boyacá
15	Boyacá
54	Norte de Santander
15	Boyacá
15	Boyacá
47	Magdalena
25	Cundinamarca
25	Cundinamarca
85	Casanare
25	Cundinamarca
15	Boyacá
15	Boyacá
13	Bolívar
68	Santander
63	Quindío
5	Antioquia
15	Boyacá
47	Magdalena
23	Córdoba
13	Bolívar
5	Antioquia
73	Tolima
25	Cundinamarca
41	Huila
70	Sucre
86	Putumayo
52	Nariño
5	Antioquia
68	Santander
5	Antioquia
47	Magdalena
27	Chocó
68	Santander
52	Nariño
52	Nariño
68	Santander
54	Norte de Santander
5	Antioquia
15	Boyacá
63	Quindío
19	Cauca
68	Santander
70	Sucre
15	Boyacá
25	Cundinamarca
23	Córdoba
15	Boyacá
70	Sucre
73	Tolima
81	Arauca
52	Nariño
50	Meta
15	Boyacá
15	Boyacá
25	Cundinamarca
54	Norte de Santander
15	Boyacá
50	Meta
99	Vichada
52	Nariño
52	Nariño
73	Tolima
18	Caquetá
68	Santander
20	Cesar
5	Antioquia
54	Norte de Santander
54	Norte de Santander
25	Cundinamarca
27	Chocó
15	Boyacá
13	Bolívar
