id_municipio	municipio	id_departamento	departamento	lat	long
5411	Liborina	5	Antioquia	6.75	-75.75
52411	Linares	52	Nariño	1.3833333	-77.45
27413	Lloró	27	Chocó	5.5833333	-76.4166667
23417	Lorica	23	Córdoba	9.1666667	-75.8333333
23419	Los Córdobas	23	Córdoba	8.9	-76.3597222
70418	Los Palmitos	70	Sucre	9.3811111	-75.2713889
54405	Los Patios	54	Norte de Santander	7.8383333	-72.5133333
68418	Los Santos	68	Santander	6.9166667	-73.0833333
54418	Lourdes	54	Norte de Santander	7.9666667	-72.8333333
8421	Luruaco	8	Atlántico	10.6141667	-75.1461111
73408	Lérida	73	Tolima	4.9166667	-74.9166667
73411	Líbano	73	Tolima	4.9166667	-75.1666667
19418	López (Micay)	19	Cauca	2.4333333	-76.8
15425	Macanal	15	Boyacá	4.9166667	-73.25
68425	Macaravita	68	Santander	6.5833333	-72.5333333
5425	Maceo	5	Antioquia	6.5	-74.75
25426	Machetá	25	Cundinamarca	5.0833333	-73.6166667
25430	Madrid	25	Cundinamarca	4.8333333	-74.3
13430	Magangué	13	Bolívar	9.2413889	-74.7533333
52427	Magüi (Payán)	52	Nariño	1.9166667	-77.8333333
13433	Mahates	13	Bolívar	10.1666667	-75.1666667
44430	Maicao	44	La Guajira	11.3841667	-72.2441667
70429	Majagual	70	Sucre	8.5	-74.6666667
8433	Malambo	8	Atlántico	10.8588889	-74.7730556
52435	Mallama (Piedrancha)	52	Nariño	1.0833333	-77.8166667
8436	Manatí	8	Atlántico	10.5	-75
44560	Manaure	44	La Guajira	11.7791667	-72.4494444
20443	Manaure Balcón del Cesar	20	Cesar	10.3927778	-73.0325
17001	Manizales	17	Caldas	5.07	-75.5205556
25436	Manta	25	Cundinamarca	5.0833333	-73.5833333
17433	Manzanares	17	Caldas	5.25	-75.1666667
85139	Maní	85	Casanare	4.8333333	-72.3333333
50325	Mapiripan	50	Meta	2.8911111	-72.1322222
13440	Margarita	13	Bolívar	9.0833333	-74.2
5440	Marinilla	5	Antioquia	6.2	-75.3
15442	Maripí	15	Boyacá	5.5833333	-74
73443	Mariquita	73	Tolima	5.25	-74.9166667
17442	Marmato	17	Caldas	5.5	-75.5833333
17444	Marquetalia	17	Caldas	5.3333333	-75
66440	Marsella	66	Risaralda	4.9166667	-75.75
17446	Marulanda	17	Caldas	5.3333333	-75.25
13442	María la Baja	13	Bolívar	10	-75.3333333
68444	Matanza	68	Santander	7.4166667	-73.0833333
5001	Medellín	5	Antioquia	6.2913889	-75.5361111
25438	Medina	25	Cundinamarca	4.5	-73.3333333
27425	Medio Atrato	27	Chocó		
27430	Medio Baudó	27	Chocó		
27450	Medio San Juan (ANDAGOYA)	27	Chocó	5.1	-76.683
73449	Melgar	73	Tolima	4.25	-74.5833333
19450	Mercaderes	19	Cauca	1.75	-77.1666667
50330	Mesetas	50	Meta	3.3780556	-74.0447222
18460	Milán	18	Caquetá	1.3483333	-75.5116667
15455	Miraflores	15	Boyacá	5.25	-73.1666667
95200	Miraflores	95	Guaviare	1.3366667	-71.9511111
19455	Miranda	19	Cauca	3.25	-76.25
66456	Mistrató	66	Risaralda	5.4166667	-76
97001	Mitú	97	Vaupés	1.1983333	-70.1733333
86001	Mocoa	86	Putumayo	1.1488889	-76.6477778
68464	Mogotes	68	Santander	6.5833333	-72.9166667
68468	Molagavita	68	Santander	6.75	-72.75
23464	Momil	23	Córdoba	9.2372222	-75.6780556
13468	Mompós	13	Bolívar	9.25	-74.5833333
15464	Mongua	15	Boyacá	5.8333333	-72.6666667
15466	Monguí	15	Boyacá	5.75	-72.8333333
15469	Moniquirá	15	Boyacá	5.9166667	-73.5
5467	Montebello	5	Antioquia	5.9166667	-75.5
13458	Montecristo	13	Bolívar	8.2994444	-74.4755556
23466	Montelíbano	23	Córdoba	7.75	-75.6666667
63470	Montenegro	63	Quindío	4.5	-75.8
23001	Monteria	23	Córdoba	8.7575	-75.89
85162	Monterrey	85	Casanare	4.9166667	-72.8333333
13473	Morales	13	Bolívar	8.4166667	-74
19473	Morales	19	Cauca	2.8	-76.6666667
18479	Morelia	18	Caquetá	1.4875	-75.725
70473	Morroa	70	Sucre	9.4166667	-75.3333333
25473	Mosquera	25	Cundinamarca	4.75	-74.3333333
52473	Mosquera	52	Nariño	2.35	-78.35
15476	Motavita	15	Boyacá	5.5797222	-73.3713889
23500	Moñitos	23	Córdoba	8.25	-76.05
73461	Murillo	73	Tolima	4.8769444	-75.1738889
5475	Murindó	5	Antioquia	6.8	-76.8
5480	Mutatá	5	Antioquia	7.3333333	-76.5
54480	Mutiscua	54	Norte de Santander	7.3333333	-72.7166667
15480	Muzo	15	Boyacá	5.5166667	-74.1166667
68432	Málaga	68	Santander	6.7833333	-72.6666667
5483	Nariño	5	Antioquia	5.6	-75.1666667
25483	Nariño	25	Cundinamarca	4.45	-74.8
52480	Nariño	52	Nariño	1.5	-78
73483	Natagaima	73	Tolima	3.5833333	-75.0833333
5495	Nechí	5	Antioquia	8.0963889	-74.7758333
5490	Necoclí	5	Antioquia	8.4238889	-76.7911111
17486	Neira	17	Caldas	5.1666667	-75.5
41001	Neiva	41	Huila	2.9305556	-75.3302778
25486	Nemocón	25	Cundinamarca	5.1333333	-73.9
25488	Nilo	25	Cundinamarca	4.3333333	-74.5833333
25489	Nimaima	25	Cundinamarca	5.2	-74.4166667
15491	Nobsa	15	Boyacá	5.8333333	-72.9166667
25491	Nocaima	25	Cundinamarca	5.1166667	-74.4166667
17495	Norcasia	17	Caldas	5.5666667	-74.8833333
13490	Norosí	13	Bolívar	8.5333333	-74.0333333
27491	Novita	27	Chocó	4.9166667	-76.5833333
47460	Nueva Granada	47	Magdalena	9.8030556	-74.3902778
15494	Nuevo Colón	15	Boyacá	5.4166667	-73.4166667
85225	Nunchía	85	Casanare	5.6405556	-72.1986111
27495	Nuquí	27	Chocó	6	-77.3333333
41483	Nátaga	41	Huila	2.65	-75.8
76497	Obando	76	Valle del Cauca	4.5833333	-75.9166667
68498	Ocamonte	68	Santander	6.4166667	-73.0833333
54498	Ocaña	54	Norte de Santander	8.25	-73.3
68500	Oiba	68	Santander	6.3	-73.25
15500	Oicatá	15	Boyacá	5.6	-73.3166667
5501	Olaya	5	Antioquia	6.6666667	-75.75
